x;y;u;v;column;row
0.000000;0.000000;0.000000;0.000000;0;0
0.066667;0.000000;0.066667;0.000000;1;0
0.133333;0.000000;0.133333;0.000000;2;0
0.200000;0.000000;0.200000;0.000000;3;0
0.266667;0.000000;0.266667;0.000000;4;0
0.333333;0.000000;0.333333;0.000000;5;0
0.400000;0.000000;0.400000;0.000000;6;0
0.466667;0.000000;0.466667;0.000000;7;0
0.533333;0.000000;0.533333;0.000000;8;0
0.600000;0.000000;0.600000;0.000000;9;0
0.666667;0.000000;0.666667;0.000000;10;0
0.733333;0.000000;0.733333;0.000000;11;0
0.800000;0.000000;0.800000;0.000000;12;0
0.866667;0.000000;0.866667;0.000000;13;0
0.933333;0.000000;0.933333;0.000000;14;0
1.000000;0.000000;1.000000;0.000000;15;0
0.000000;0.031250;0.000000;0.031250;0;1
0.066667;0.031250;0.066667;0.031250;1;1
0.133333;0.031250;0.133333;0.031250;2;1
0.200000;0.031250;0.200000;0.031250;3;1
0.266667;0.031250;0.266667;0.031250;4;1
0.333333;0.031250;0.333333;0.031250;5;1
0.400000;0.031250;0.400000;0.031250;6;1
0.466667;0.031250;0.466667;0.031250;7;1
0.533333;0.031250;0.533333;0.031250;8;1
0.600000;0.031250;0.600000;0.031250;9;1
0.666667;0.031250;0.666667;0.031250;10;1
0.733333;0.031250;0.733333;0.031250;11;1
0.800000;0.031250;0.800000;0.031250;12;1
0.866667;0.031250;0.866667;0.031250;13;1
0.933333;0.031250;0.933333;0.031250;14;1
1.000000;0.031250;1.000000;0.031250;15;1
0.000000;0.062500;0.000000;0.062500;0;2
0.066667;0.062500;0.066667;0.062500;1;2
0.133333;0.062500;0.133333;0.062500;2;2
0.200000;0.062500;0.200000;0.062500;3;2
0.266667;0.062500;0.266667;0.062500;4;2
0.333333;0.062500;0.333333;0.062500;5;2
0.400000;0.062500;0.400000;0.062500;6;2
0.466667;0.062500;0.466667;0.062500;7;2
0.533333;0.062500;0.533333;0.062500;8;2
0.600000;0.062500;0.600000;0.062500;9;2
0.666667;0.062500;0.666667;0.062500;10;2
0.733333;0.062500;0.733333;0.062500;11;2
0.800000;0.062500;0.800000;0.062500;12;2
0.866667;0.062500;0.866667;0.062500;13;2
0.933333;0.062500;0.933333;0.062500;14;2
1.000000;0.062500;1.000000;0.062500;15;2
0.000000;0.093750;0.000000;0.093750;0;3
0.066667;0.093750;0.066667;0.093750;1;3
0.133333;0.093750;0.133333;0.093750;2;3
0.200000;0.093750;0.200000;0.093750;3;3
0.266667;0.093750;0.266667;0.093750;4;3
0.333333;0.093750;0.333333;0.093750;5;3
0.400000;0.093750;0.400000;0.093750;6;3
0.466667;0.093750;0.466667;0.093750;7;3
0.533333;0.093750;0.533333;0.093750;8;3
0.600000;0.093750;0.600000;0.093750;9;3
0.666667;0.093750;0.666667;0.093750;10;3
0.733333;0.093750;0.733333;0.093750;11;3
0.800000;0.093750;0.800000;0.093750;12;3
0.866667;0.093750;0.866667;0.093750;13;3
0.933333;0.093750;0.933333;0.093750;14;3
1.000000;0.093750;1.000000;0.093750;15;3
0.000000;0.125000;0.000000;0.125000;0;4
0.066667;0.125000;0.066667;0.125000;1;4
0.133333;0.125000;0.133333;0.125000;2;4
0.200000;0.125000;0.200000;0.125000;3;4
0.266667;0.125000;0.266667;0.125000;4;4
0.333333;0.125000;0.333333;0.125000;5;4
0.400000;0.125000;0.400000;0.125000;6;4
0.466667;0.125000;0.466667;0.125000;7;4
0.533333;0.125000;0.533333;0.125000;8;4
0.600000;0.125000;0.600000;0.125000;9;4
0.666667;0.125000;0.666667;0.125000;10;4
0.733333;0.125000;0.733333;0.125000;11;4
0.800000;0.125000;0.800000;0.125000;12;4
0.866667;0.125000;0.866667;0.125000;13;4
0.933333;0.125000;0.933333;0.125000;14;4
1.000000;0.125000;1.000000;0.125000;15;4
0.000000;0.156250;0.000000;0.156250;0;5
0.066667;0.156250;0.066667;0.156250;1;5
0.133333;0.156250;0.133333;0.156250;2;5
0.200000;0.156250;0.200000;0.156250;3;5
0.266667;0.156250;0.266667;0.156250;4;5
0.333333;0.156250;0.333333;0.156250;5;5
0.400000;0.156250;0.400000;0.156250;6;5
0.466667;0.156250;0.466667;0.156250;7;5
0.533333;0.156250;0.533333;0.156250;8;5
0.600000;0.156250;0.600000;0.156250;9;5
0.666667;0.156250;0.666667;0.156250;10;5
0.733333;0.156250;0.733333;0.156250;11;5
0.800000;0.156250;0.800000;0.156250;12;5
0.866667;0.156250;0.866667;0.156250;13;5
0.933333;0.156250;0.933333;0.156250;14;5
1.000000;0.156250;1.000000;0.156250;15;5
0.000000;0.187500;0.000000;0.187500;0;6
0.066667;0.187500;0.066667;0.187500;1;6
0.133333;0.187500;0.133333;0.187500;2;6
0.200000;0.187500;0.200000;0.187500;3;6
0.266667;0.187500;0.266667;0.187500;4;6
0.333333;0.187500;0.333333;0.187500;5;6
0.400000;0.187500;0.400000;0.187500;6;6
0.466667;0.187500;0.466667;0.187500;7;6
