x;y;u;v;column;row
-0.006541;0.069580;0.000000;0.000000;0;0
0.016696;0.046540;0.031250;0.000000;1;0
0.041135;0.023946;0.062500;0.000000;2;0
0.066797;0.001934;0.093750;0.000000;3;0
0.093689;-0.019351;0.125000;0.000000;4;0
0.121809;-0.039749;0.156250;0.000000;5;0
0.151142;-0.059096;0.187500;0.000000;6;0
0.181656;-0.077220;0.218750;0.000000;7;0
0.213305;-0.093946;0.250000;0.000000;8;0
0.246025;-0.108964;0.281250;0.000000;9;0
0.279734;-0.122045;0.312500;0.000000;10;0
0.314332;-0.133146;0.343750;0.000000;11;0
0.349703;-0.142237;0.375000;0.000000;12;0
0.385715;-0.149248;0.406250;0.000000;13;0
0.422223;-0.154211;0.437500;0.000000;14;0
0.459068;-0.157282;0.468750;0.000000;15;0
0.496088;-0.158648;0.500000;0.000000;16;0
0.533114;-0.158666;0.531250;0.000000;17;0
0.569978;-0.157200;0.562500;0.000000;18;0
0.606516;-0.153745;0.593750;0.000000;19;0
0.642570;-0.147821;0.625000;0.000000;20;0
0.677997;-0.139097;0.656250;0.000000;21;0
0.712662;-0.127732;0.687500;0.000000;22;0
0.746450;-0.114019;0.718750;0.000000;23;0
0.779262;-0.098268;0.750000;0.000000;24;0
0.811015;-0.080867;0.781250;0.000000;25;0
0.841645;-0.062033;0.812500;0.000000;26;0
0.871106;-0.041822;0.843750;0.000000;27;0
0.899366;-0.020290;0.875000;0.000000;28;0
0.926411;0.002416;0.906250;0.000000;29;0
0.952237;0.026082;0.937500;0.000000;30;0
0.976854;0.050561;0.968750;0.000000;31;0
1.000281;0.075716;1.000000;0.000000;32;0
-0.010308;0.085750;0.000000;0.031250;0;1
0.012889;0.062460;0.031250;0.031250;1;1
0.037317;0.039569;0.062500;0.031250;2;1
0.062999;0.017215;0.093750;0.031250;3;1
0.089946;-0.004449;0.125000;0.031250;4;1
0.118160;-0.025260;0.156250;0.031250;5;1
0.147628;-0.045045;0.187500;0.031250;6;1
0.178322;-0.063624;0.218750;0.031250;7;1
0.210196;-0.080811;0.250000;0.031250;8;1
0.243183;-0.096304;0.281250;0.031250;9;1
0.277201;-0.109871;0.312500;0.031250;10;1
0.312147;-0.121442;0.343750;0.031250;11;1
0.347904;-0.130962;0.375000;0.031250;12;1
0.384335;-0.138336;0.406250;0.031250;13;1
0.421287;-0.143574;0.437500;0.031250;14;1
0.458598;-0.146807;0.468750;0.031250;15;1
0.496096;-0.148196;0.500000;0.031250;16;1
0.533602;-0.148072;0.531250;0.031250;17;1
0.570938;-0.146308;0.562500;0.031250;18;1
0.607930;-0.142438;0.593750;0.031250;19;1
0.644414;-0.136027;0.625000;0.031250;20;1
0.680235;-0.126783;0.656250;0.031250;21;1
0.715258;-0.114892;0.687500;0.031250;22;1
